court_name,court_type,google_abbreviation
United States District Court for the District of Puerto Rico,District Court,"United States District Court, D. Puerto Rico."
United States District Court for the District of Rhode Island,District Court,"United States District Court, D. Rhode Island."
United States District Court for the District of South Carolina,District Court,"United States District Court, D. South Carolina."
United States District Court for the District of South Dakota,District Court,"United States District Court, D. South Dakota."
United States District Court for the Eastern District of Tennessee,District Court,"United States District Court, E. D. Tennessee."
United States District Court for the Middle District of Tennessee,District Court,"United States District Court, M.D. Tennessee."
United States District Court for the Western District of Tennessee,District Court,"United States District Court, W. D. Tennessee."
United States District Court for the Northern District of Texas,District Court,"United States District Court, N. D. Texas."
United States District Court for the Eastern District of Texas,District Court,"United States District Court, E. D. Texas."
United States District Court for the Southern District of Texas,District Court,"United States District Court, S. D. Texas."
United States District Court for the Western District of Texas,District Court,"United States District Court, W. D. Texas."
United States District Court for the District of Utah,District Court,"United States District Court, D. Utah."
United States District Court for the District of Vermont,District Court,"United States District Court, D. Vermont."
United States District Court for the District of the Virgin Islands,District Court,"District Court, Virgin Islands, D. St. Thomas and St. John."
United States District Court for the Eastern District of Virginia,District Court,"United States District Court, E. D. Virginia."
United States District Court for the Western District of Virginia,District Court,"United States District Court, W. D. Virginia."
United States District Court for the Eastern District of Washington,District Court,"United States District Court, E. D. Washington."
United States District Court for the Western District of Washington,District Court,"United States District Court, W. D. Washington."
United States District Court for the Northern District of West Virginia,District Court,"United States District Court, N. D. West Virginia."
United States District Court for the Southern District of West Virginia,District Court,"United States District Court, S. D. West Virginia."
United States District Court for the Eastern District of Wisconsin,District Court,"United States District Court, E. D. Wisconsin."
United States District Court for the Western District of Wisconsin,District Court,"United States District Court, W. D. Wisconsin."
United States District Court for the District of Wyoming,District Court,"United States District Court, D. Wyoming."
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
